step,time,num_rl_vehicles,veh_id,speed,position,lane,headway,acceleration,ttc
0,0.0,2,rl_0,0.0,1716.1585663161902,1,,0.0,
0,0.0,2,rl_1,0.0,0.0,3,,0.0,
1,0.1,2,rl_0,0.14368460178375245,1716.1729347763685,1,,1.4368460178375244,
1,0.1,2,rl_1,0.1844443678855896,0.01844443678855896,3,,1.844443678855896,
2,0.2,2,rl_0,0.20351374745368958,1716.1932861511139,1,,0.5982914566993713,
2,0.2,2,rl_1,0.4156140923500061,0.06000584602355957,3,,2.311697244644165,
3,0.30000000000000004,2,rl_0,0.27932813167572024,1716.2212189642814,1,,0.7581438422203065,
3,0.30000000000000004,2,rl_1,0.4460471630096436,0.10461056232452393,3,,0.3043307065963746,
4,0.4,2,rl_0,0.3339113771915436,1716.2546101020007,1,,0.5458324551582339,
4,0.4,2,rl_1,0.4588614821434021,0.15049671053886415,3,,0.12814319133758523,
5,0.5,2,rl_0,0.4272104918956757,1716.2973311511903,1,,0.932991147041321,
5,0.5,2,rl_1,0.5108431160449982,0.20158102214336399,3,,0.519816339015961,
6,0.6000000000000001,2,rl_0,0.49923445582389836,1716.3472545967727,1,,0.7202396392822263,
6,0.6000000000000001,2,rl_1,0.5989571273326875,0.26147673487663275,3,,0.8811401128768925,
7,0.7000000000000001,2,rl_0,0.5756980359554291,1716.4048244003682,1,,0.7646358013153076,
7,0.7000000000000001,2,rl_1,0.6673169016838074,0.3282084250450135,3,,0.6835977435111995,
8,0.8,2,rl_0,0.6866578161716461,1716.4734901819854,1,,1.10959780216217,
8,0.8,2,rl_1,0.5727794528007508,0.3854863703250886,3,,-0.945374488830566,
9,0.9,2,rl_0,0.8412183582782745,1716.5576120178132,1,,1.545605421066284,
9,0.9,2,rl_1,0.6709406018257142,0.45258043050766,3,,0.9816114902496342,
10,1.0,2,rl_0,0.9417863070964814,1716.6517906485228,1,,1.0056794881820685,
10,1.0,2,rl_1,0.8329387545585634,0.5358743059635164,3,,1.6199815273284912,
11,1.1,2,rl_0,0.971430316567421,1716.7489336801796,1,,0.2964400947093959,
11,1.1,2,rl_1,0.9700388789176942,0.6328781938552858,3,,1.3710012435913088,
12,1.2000000000000002,2,rl_0,1.0127363622188568,1716.8502073164013,1,,0.4130604565143581,
12,1.2000000000000002,2,rl_1,1.083304011821747,0.7412085950374605,3,,1.1326513290405271,
13,1.3,2,rl_0,1.0389245629310608,1716.9540997726945,1,,0.2618820071220407,
13,1.3,2,rl_1,1.1448465645313264,0.8556932514905932,3,,0.6154255270957942,
14,1.4000000000000001,2,rl_0,1.1691139340400696,1717.0710111660985,1,,1.3018937110900874,
14,1.4000000000000001,2,rl_1,1.307341891527176,0.9864274406433108,3,,1.6249532699584956,
15,1.5,2,rl_0,1.2594658195972444,1717.1969577480581,1,,0.9035188555717477,
15,1.5,2,rl_1,1.3050910353660583,1.1169365441799166,3,,-0.022508561611176425,
16,1.6,2,rl_0,1.3846090137958527,1717.3354186494378,1,,1.251431941986083,
16,1.6,2,rl_1,1.4218019247055054,1.2591167366504672,3,,1.1671088933944707,
17,1.7000000000000002,2,rl_0,1.3085452258586883,1717.4662731720236,1,,-0.760637879371644,
17,1.7000000000000002,2,rl_1,1.491319215297699,1.4082486581802371,3,,0.6951729059219369,
18,1.8,2,rl_0,1.37765816450119,1717.6040389884738,1,,0.6911293864250179,
18,1.8,2,rl_1,1.5593865096569062,1.5641873091459277,3,,0.6806729435920711,
19,1.9000000000000001,2,rl_0,1.5438485026359556,1717.7584238387374,1,,1.6619033813476558,
19,1.9000000000000001,2,rl_1,1.5928632855415346,1.7234736377000812,3,,0.33476775884628385,
20,2.0,2,rl_0,1.6761619448661802,1717.926040033224,1,,1.3231344223022456,
20,2.0,2,rl_1,1.6601374983787538,1.8894873875379565,3,,0.6727421283721924,
21,2.1,2,rl_0,1.7423289537429807,1718.100272928598,1,,0.6616700887680049,
21,2.1,2,rl_1,1.7086637049913407,2.0603537580370905,3,,0.48526206612586886,
22,2.2,2,rl_0,1.7974837422370908,1718.2800213028218,1,,0.5515478849411015,
22,2.2,2,rl_1,1.7311904460191727,2.2334728026390076,3,,0.2252674102783203,
23,2.3000000000000003,2,rl_0,1.7953654289245604,1718.4595578457142,1,,-0.021183133125304288,
23,2.3000000000000003,2,rl_1,1.8974420815706254,2.42321701079607,3,,1.6625163555145273,
24,2.4000000000000004,2,rl_0,1.9108278751373289,1718.650640633228,1,,1.1546244621276847,
24,2.4000000000000004,2,rl_1,1.9471218258142473,2.6179291933774946,3,,0.4967974424362187,
25,2.5,2,rl_0,1.9509530186653135,1718.8457359350946,1,,0.40125143527984575,
25,2.5,2,rl_1,1.9557761758565904,2.813506810963154,3,,0.08654350042343051,
26,2.6,2,rl_0,2.1281685352325437,1719.0585527886178,1,,1.7721551656723022,
26,2.6,2,rl_1,1.9442016810178757,3.0079269790649414,3,,-0.11574494838714644,
27,2.7,2,rl_0,2.2185371875762936,1719.2804065073753,1,,0.9036865234374991,
27,2.7,2,rl_1,2.0462363451719283,3.2125506135821342,3,,1.020346641540526,
28,2.8000000000000003,2,rl_0,2.2324734091758724,1719.503653848293,1,,0.13936221599578857,
28,2.8000000000000003,2,rl_1,2.0941429436206818,3.4219649079442025,3,,0.47906598448753446,
29,2.9000000000000004,2,rl_0,2.261513808369636,1719.7298052291299,1,,0.29040399193763555,
29,2.9000000000000004,2,rl_1,2.1387753665447233,3.635842444598675,3,,0.4463242292404157,
30,3.0,2,rl_0,2.4121153503656383,1719.9710167641665,1,,1.5060154199600229,
30,3.0,2,rl_1,2.196174871921539,3.855459931790829,3,,0.5739950537681571,
31,3.1,2,rl_0,2.445666709542274,1720.2155834351208,1,,0.33551359176635653,
31,3.1,2,rl_1,2.2129842460155484,4.076758356392384,3,,0.168093740940094,
32,3.2,2,rl_0,2.486832302808761,1720.4642666654017,1,,0.41165593266486944,
32,3.2,2,rl_1,2.1780443012714383,4.294562786519528,3,,-0.3493994474411011,
