step,time,num_rl_vehicles,veh_id,speed,position,lane,headway,acceleration,ttc
0,0.0,2,rl_0,0.30000000000000004,1.9216004827803308,3,,0.0,
0,0.0,2,rl_1,0.2630033016204834,1.7302366204579356,1,1710.0689116441436,0.0,20602.42036471157
1,0.1,2,rl_0,0.4424526810646058,1.9658457508867915,3,,1.4245268106460574,
1,0.1,2,rl_1,0.22679686546325684,1.7529163070042613,1,1710.0822319571769,-0.36206436157226574,
2,0.2,2,rl_0,0.44146708250045785,2.0099924591368374,3,,-0.00985598564147927,
2,0.2,2,rl_1,0.5267963801084808,1.8055959450151093,1,1710.083551502482,2.99999514645224,
3,0.30000000000000004,2,rl_0,0.2986404299736024,2.0398565021341977,3,,-1.4282665252685545,
3,0.30000000000000004,2,rl_1,0.4491853151975922,1.8505144765348684,1,1710.110632120228,-0.7761106491088865,
4,0.4,2,rl_0,0.5176609873771669,2.0916226008719145,3,,2.190205574035645,
4,0.4,2,rl_1,0.7491843707687003,1.9254329136117385,1,1710.1254025308417,2.9999905557110806,
5,0.5,2,rl_0,0.3492338657379152,2.126545987445706,3,,-1.684271216392517,
5,0.5,2,rl_1,1.0491803641229924,2.0303509500240375,1,1710.1280888274352,2.9999599335429217,
6,0.6000000000000001,2,rl_0,0.25315647125244156,2.1518616345709503,3,,-0.9607739448547364,
6,0.6000000000000001,2,rl_1,1.2016289944559393,2.1505138494696316,1,1710.1332960493617,1.5244863033294687,
7,0.7000000000000001,2,rl_0,0.5531564205552308,2.2071772766264734,3,,2.9999994930278926,
7,0.7000000000000001,2,rl_1,1.5016055709689229,2.300674406566524,1,1710.1264394328584,2.999765765129836,24941.258397730628
8,0.8,2,rl_0,0.8480348080064027,2.2919807574271136,3,,2.9487838745117188,
8,0.8,2,rl_1,1.8011707431643575,2.4807914808829596,1,1710.10760912513,2.9956517219543466,9081.676379335948
9,0.9,2,rl_0,1.148028424156811,2.406783599842795,3,,2.999936161504083,
9,0.9,2,rl_1,1.898151207622823,2.670606601645242,1,1710.096938987906,0.9698046445846553,16026.944200172189
10,1.0,2,rl_0,1.4480069834797227,2.5515842981907673,3,,2.999785593229116,
10,1.0,2,rl_1,2.1980087475884167,2.8904074764040835,1,1710.0740366269674,2.998575399655936,7466.80240183402
11,1.1,2,rl_0,1.6421511847584092,2.7157994166666084,3,,1.9414420127868648,
11,1.1,2,rl_1,2.4977532073862427,3.1401827971427076,1,1710.0391538008726,2.9974445979782605,4902.237992820394
12,1.2000000000000002,2,rl_0,1.9420614252461057,2.910005559191219,3,,2.9991024048769654,
12,1.2000000000000002,2,rl_1,2.7973276331806995,3.419915560460778,1,1709.9923049923068,2.995744257944568,3650.023036535629
13,1.3,2,rl_0,1.9901005993260008,3.109015619123819,3,,0.4803917407989511,
13,1.3,2,rl_1,2.978307373800359,3.717746297840814,1,1709.9452755868906,1.809797406196596,3635.9066427854877
14,1.4000000000000001,2,rl_0,1.9040678630245786,3.2994224054262773,3,,-0.8603273630142216,
14,1.4000000000000001,2,rl_1,3.2761960819149833,4.045365906032313,1,1709.8863243415776,2.978887081146242,2900.509251773789
15,1.5,2,rl_0,2.203905623141555,3.5198129677404326,3,,2.998377601169764,
15,1.5,2,rl_1,3.249349899568639,4.3703008959891765,1,1709.8480368487747,-0.2684618234634417,4465.813537738677
16,1.6,2,rl_0,2.1285857250130453,3.732671540241737,3,,-0.753198981285097,
16,1.6,2,rl_1,3.338942803421102,4.704195176331287,1,1709.8185679310345,0.8959290385246277,5802.108455428788
17,1.7000000000000002,2,rl_0,2.2977616121208944,3.9624477014538266,3,,1.6917588710784903,
17,1.7000000000000002,2,rl_1,3.637586045693741,5.067953780900661,1,1709.7770601244943,2.9864324227263905,4119.169868582503
18,1.8,2,rl_0,2.279595809165267,4.190407282370353,3,,-0.1816580295562753,
18,1.8,2,rl_1,3.5801741008275605,5.425971190983417,1,1709.7591992258178,-0.5741194486618051,9572.638142187881
19,1.9000000000000001,2,rl_0,2.5532022287285603,4.44572750524321,3,,2.7360641956329346,
19,1.9000000000000001,2,rl_1,3.7094000701421357,5.79691119799763,1,1709.7463621156796,1.292259693145752,13318.779255822743
20,2.0,2,rl_0,2.5425034572518146,4.699977850968391,3,,-0.10698771476745694,
20,2.0,2,rl_1,3.7111220483296967,6.1680234028306,1,1709.7512869512166,0.01721978187561035,
21,2.1,2,rl_0,2.653966837111739,4.965374534679565,3,,1.114633798599245,
21,2.1,2,rl_1,3.7404088382238005,6.54206428665298,1,1709.771203034072,0.29286789894103826,
22,2.2,2,rl_0,2.953354472761642,5.2607099819557295,3,,2.993876356499028,
22,2.2,2,rl_1,4.038273010107081,6.945891587663688,1,1709.7790245694302,2.978641718832802,
23,2.3000000000000003,2,rl_0,2.8881369062714684,5.549523672582876,3,,-0.6521756649017352,
23,2.3000000000000003,2,rl_1,3.9760548923931527,7.343497076903003,1,1709.810785492066,-0.6221811771392805,
24,2.4000000000000004,2,rl_0,2.9707268484883413,5.846596357431711,3,,0.8258994221687299,
24,2.4000000000000004,2,rl_1,4.273328167256537,7.770829893628657,1,1709.830682980479,2.9727327486338417,
25,2.5,2,rl_0,3.2697655044943787,6.173572907881149,3,,2.990386560060374,
25,2.5,2,rl_1,4.368030822333518,8.207632975862008,1,1709.8589499924146,0.9470265507698095,
26,2.6,2,rl_0,3.2864276849181153,6.502215676372961,3,,0.16662180423736572,
26,2.6,2,rl_1,4.138844835814658,8.621517459443474,1,1709.9277971443219,-2.291859865188597,
27,2.7,2,rl_0,3.584987811699173,6.860714457542878,3,,2.985601267810578,
27,2.7,2,rl_1,4.385957157668296,9.060113175210304,1,1709.9894205103592,2.471123218536375,
28,2.8000000000000003,2,rl_0,3.8829489927268734,7.249009356815566,3,,2.979611810277003,
28,2.8000000000000003,2,rl_1,4.436123025473776,9.503725477757682,1,1710.0637765584218,0.501658678054806,
29,2.9000000000000004,2,rl_0,4.180143076667445,7.66702366448231,3,,2.9719408394057156,
29,2.9000000000000004,2,rl_1,4.136123025473776,9.91733778030506,1,1710.1857686938406,-2.9999999999999982,
30,3.0,2,rl_0,4.292819113025325,8.096305575784843,3,,1.1267603635787982,
30,3.0,2,rl_1,4.155513536986533,10.332889134003713,1,1710.3234508043638,0.1939051151275617,
31,3.1,2,rl_0,4.565554804095881,8.55286105619443,3,,2.727356910705563,
31,3.1,2,rl_1,4.1972212195960905,10.752611255963322,1,1710.474586999936,0.4170768260955793,
32,3.2,2,rl_0,4.781392235049861,9.031000279699416,3,,2.1583743095397967,
32,3.2,2,rl_1,4.493836040564354,11.201994860019758,1,1710.6135273583218,2.966148209682631,
33,3.3000000000000003,2,rl_0,4.763479286918299,9.507348208391246,3,,-0.17912948131561635,
33,3.3000000000000003,2,rl_1,4.739440221854027,11.67593888220516,1,1710.745427528123,2.456041812896732,
34,3.4000000000000004,3,flow_10.0,0.0,5.1,0,2.4604879472646726,0.0,
34,3.4000000000000004,3,rl_0,4.463479286918299,9.953696137083076,3,,-2.9999999999999982,
34,3.4000000000000004,3,rl_1,5.033937170402505,12.179332599245411,1,1710.8652526305978,2.944969485484785,
35,3.5,3,flow_10.0,0.0,5.1,0,3.1014673496160743,0.0,
35,3.5,3,rl_0,4.641551512965815,10.417851288379659,3,,1.7807222604751605,
35,3.5,3,rl_1,5.033937170402505,12.682726316285661,1,1711.0024299521813,0.0,
36,3.6,3,flow_10.0,0.17524820047209547,5.117524820047209,0,3.742107795950994,1.7524820047209546,
36,3.6,3,rl_0,4.731599337348597,10.891011222114518,3,,0.900478243827818,
36,3.6,3,rl_1,5.033937170402505,13.186120033325912,1,1711.1568966425077,0.0,
37,3.7,3,flow_10.0,0.0,5.117524820047209,0,4.417240218988712,-1.7524820047209546,
37,3.7,3,rl_0,4.510128552207606,11.342024077335278,3,,-2.214707851409914,
37,3.7,3,rl_1,5.033937170402505,13.689513750366162,1,1711.3285371597333,0.0,
38,3.8000000000000003,3,flow_10.0,0.23849942014503542,5.141374762061713,0,5.085520789536425,2.384994201450354,
38,3.8000000000000003,3,rl_0,4.7468430821987555,11.816708385555154,3,,2.3671452999114972,
38,3.8000000000000003,3,rl_1,5.033937170402505,14.192907467406412,1,1711.5171539942403,0.0,
39,3.9000000000000004,3,flow_10.0,0.0,5.141374762061713,0,5.794544666487254,-2.384994201450354,
39,3.9000000000000004,3,rl_0,5.012976366767542,12.31800602223191,3,,2.6613328456878627,
39,3.9000000000000004,3,rl_1,5.033937170402505,14.696301184446662,1,1711.7227033772583,0.0,
40,4.0,3,flow_10.0,0.0,5.141374762061713,0,6.52025531718462,0.0,
40,4.0,3,rl_0,5.305181466534228,12.848524168885332,3,,2.922050997666865,
40,4.0,3,rl_1,5.033937170402505,15.199694901486913,1,1711.9451040614467,0.0,
41,4.1000000000000005,3,flow_10.0,0.0,5.141374762061713,0,7.262628536322125,0.0,
41,4.1000000000000005,3,rl_0,5.595403942157256,13.408064563101057,3,,2.9022247562302805,
41,4.1000000000000005,3,rl_1,5.033937170402505,15.703088618527163,1,1712.1843934699673,0.0,
42,4.2,3,flow_10.0,0.27724936187470084,5.169099698249183,0,7.9938123117576305,2.772493618747008,
42,4.2,3,rl_0,5.883304824214074,13.996395045522464,3,,2.879008820568174,
42,4.2,3,rl_1,5.033937170402505,16.206482335567415,1,1712.4404645018124,0.0,
43,4.3,3,flow_10.0,0.5584702589721793,5.224946724146401,0,8.713274635491091,2.812208970974784,
43,4.3,3,rl_0,6.168516691670842,14.613246714689549,3,,2.8521186745676808,
43,4.3,3,rl_1,5.033937170402505,16.709876052607665,1,1712.712805491653,0.0,
44,4.4,3,flow_10.0,0.25847025897217923,5.250793750043619,0,9.47899484705961,-3.0000000000000004,
44,4.4,3,rl_0,6.450645607128337,15.258311275402383,3,,2.8212891545749486,
