step,time,num_rl_vehicles,veh_id,speed,position,lane,headway,acceleration,ttc
0,0.0,2,rl_0,0.29999959077835076,0.02999995907783508,1,1712.4119011749465,0.0,14078.161556886693
0,0.0,2,rl_1,0.0,0.8081862730032449,0,1709.4869321739063,0.0,
1,0.1,2,rl_0,0.36934885587692257,0.06693484466552733,1,1712.410802643452,0.6934926509857181,155881.8123374263
1,0.1,2,rl_1,0.2999995893709451,0.8381862319403394,0,1709.4928215666928,2.999995893709451,
2,0.2,2,rl_0,0.4656109234333038,0.11349593700885771,1,1712.4180677090092,0.9626206755638123,
2,0.2,2,rl_1,0.04557940428183377,0.8427441723685227,0,1709.5421529704006,-2.5442018508911133,
3,0.30000000000000004,2,rl_0,0.7656101368722574,0.19005695069608347,1,1712.4131158503287,2.999992134389536,34581.21942382202
3,0.30000000000000004,2,rl_1,0.0,0.8427441723685227,0,1709.614042275966,-0.4557940428183377,
4,0.4,2,rl_0,0.7561438702401774,0.2656713377201012,1,1712.4271105081427,-0.09466266632080056,
4,0.4,2,rl_1,0.0,0.8427441723685227,0,1709.7038660502005,0.0,
5,0.5,2,rl_0,0.45614387024017733,0.311285724744119,1,1712.4889643564968,-3.0000000000000004,
5,0.5,2,rl_1,0.08265001177787781,0.8510091735463106,0,1709.8034245255355,0.8265001177787781,
6,0.6000000000000001,2,rl_0,0.2709335469064371,0.3383790794347627,1,1712.5873301947677,-1.8521032333374021,
6,0.6000000000000001,2,rl_1,0.0,0.8510091735463106,0,1709.929242238352,-0.8265001177787781,
7,0.7000000000000001,2,rl_0,0.03601473796936436,0.3419805532316991,1,1712.7271868759394,-2.3491880893707275,
7,0.7000000000000001,2,rl_1,0.29999958958335377,0.881009132504646,0,1710.0429793842816,2.9999958958335373,
8,0.8,2,rl_0,0.022428610211338233,0.3442234142528329,1,1712.8864003953483,-0.13586127758026123,
8,0.8,2,rl_1,0.5822769113988445,0.9392368236445304,0,1710.146334918658,2.8227732181549072,
9,0.9,2,rl_0,0.0,0.3442234142528329,1,1713.0658539286612,-0.22428610211338232,
9,0.9,2,rl_1,0.8822754722929579,1.0274643708738262,0,1710.2376648886463,2.9999856089411336,
10,1.0,2,rl_0,0.29999959108491786,0.3742233733613247,1,1713.233303157838,2.9999959108491785,
10,1.0,2,rl_1,1.182269975490156,1.1456913684228418,0,1710.3169906543117,2.999945031971981,
11,1.1,2,rl_0,0.5999990986978931,0.43422328323111403,1,1713.3887460682117,2.9999950761297525,
11,1.1,2,rl_1,1.4577997415729196,1.2914713425801339,0,1710.386756477464,2.755297660827636,
12,1.2000000000000002,2,rl_0,0.8999978452343945,0.5242230677545535,1,1713.5319184540765,2.9999874653650136,
12,1.2000000000000002,2,rl_1,1.757762253662785,1.4672475679464123,0,1710.4445161774481,2.9996251208986546,
13,1.3,2,rl_0,0.9255047708172802,0.6167735448362816,1,1713.690527762516,0.255069255828857,
13,1.3,2,rl_1,1.5755913142172895,1.6248066993681411,0,1710.53829927736,-1.8217093944549556,
14,1.4000000000000001,2,rl_0,1.2254998951086138,0.7393235343471429,1,1713.8371208866336,2.9999512429133355,
14,1.4000000000000001,2,rl_1,1.875540413530603,1.8123607407212015,0,1710.6200456921076,2.999490993133136,
15,1.5,2,rl_0,1.3075837402471635,0.8700819083718593,1,1713.9934836416878,0.8208384513854972,
15,1.5,2,rl_1,2.17543883144708,2.0299046238659093,0,1710.6897782107233,2.9989841791647676,
16,1.6,2,rl_0,1.6006894855627154,1.0301508569281308,1,1714.138507348432,2.931057453155519,
16,1.6,2,rl_1,2.475255502181145,2.277430174084024,0,1710.7474580529693,2.9981667073406504,
17,1.7000000000000002,2,rl_0,1.9006499439635318,1.220215851324484,1,1714.2714265906916,2.999604584008164,
17,1.7000000000000002,2,rl_1,2.7749487104407136,2.5549250451280954,0,1710.7929010187077,2.996932082595687,
18,1.8,2,rl_0,1.8949743181624454,1.4097132831407286,1,1714.4225794688414,-0.056756258010863814,
18,1.8,2,rl_1,3.0744645541237317,2.8623715005404686,0,1710.8263369584852,2.995158436830181,
19,1.9000000000000001,2,rl_0,2.1948972265692577,1.6292030057976543,1,1714.5614513434516,2.9992290840681224,
19,1.9000000000000001,2,rl_1,3.2864044135139903,3.1910119418918677,0,1710.856517158566,2.119398593902586,
20,2.0,2,rl_0,2.2116286795111524,1.8503658737487696,1,1714.716496935593,0.1673145294189471,
20,2.0,2,rl_1,3.479928046994062,3.539004746591274,0,1710.885269180363,1.9352363348007184,
21,2.1,2,rl_0,2.5114861791065666,2.1015144916594264,1,1714.8592447122942,2.998574995954142,
21,2.1,2,rl_1,3.734621698193403,3.9124669164106143,0,1710.9064596999926,2.5469365119934073,
22,2.2,2,rl_0,2.680493444674346,2.369563836126861,1,1715.0028800147672,1.6900726556777945,
22,2.2,2,rl_1,3.9600362604187445,4.308470542452489,0,1710.9229978190049,2.254145622253416,
23,2.3000000000000003,2,rl_0,2.8516952698162528,2.654733363108486,1,1715.1472747855362,1.7120182514190674,
23,2.3000000000000003,2,rl_1,4.25803113178391,4.73427365563088,0,1710.927603981134,2.9799487136516545,
24,2.4000000000000004,2,rl_0,2.697700351946685,2.9245033983031545,1,1715.324704759927,-1.5399491786956787,
24,2.4000000000000004,2,rl_1,4.555351200097188,5.189808775640599,0,1710.9203211827216,2.9732006831327773,23492.622262265064
25,2.5,2,rl_0,2.997385735097268,3.2242419718128814,1,1715.4898433641292,2.99685383150583,
25,2.5,2,rl_1,4.851840992229254,5.674992874863524,0,1710.9012047610574,2.9648979213206594,8949.903045791658
26,2.6,2,rl_0,3.2105233379033593,3.5452943056032176,1,1715.6514725321285,2.131376028060914,
26,2.6,2,rl_1,5.147324112565156,6.18972528612004,0,1710.8702330839433,2.9548312033590207,5523.983175894592
27,2.7,2,rl_0,3.509892867230393,3.896283592326257,1,1715.8009373280054,2.9936952932703376,
27,2.7,2,rl_1,5.082338825375672,6.697959168657607,0,1710.8634748962515,-0.6498528718948382,25315.418170657907
28,2.8000000000000003,2,rl_0,3.8089925459388403,4.277182846920141,1,1715.9382293462859,2.9909967870844723,
28,2.8000000000000003,2,rl_1,5.376900875168159,7.235649256174423,0,1710.844898949138,2.9456204979248746,9210.000913996104
29,2.9000000000000004,2,rl_0,4.044896047449461,4.681672451665087,1,1716.069628918492,2.3590350151062056,
29,2.9000000000000004,2,rl_1,5.67008865918309,7.802658122092732,0,1710.8145498019833,2.9318778401493084,5637.109145358494
30,3.0,2,rl_0,4.343308612248006,5.116003312889888,1,1716.1888417052764,2.984125647985447,
30,3.0,2,rl_1,5.9616649534034645,8.398824617433078,0,1710.7726636745274,2.9157629422037434,4084.34192317711
31,3.1,3,flow_10.0,0.0,5.1,2,2.437511518424106,0.0,
31,3.1,3,rl_0,4.641198544819221,5.58012316737181,1,1716.295872137194,2.9788993257121543,
31,3.1,3,rl_1,6.251370565847639,9.023961674017842,0,1710.7193753046763,2.8970561244417414,3210.30532568139
32,3.2,3,flow_10.0,0.09802952224268326,5.109802952224268,2,3.0167026247562756,0.9802952224268325,
32,3.2,3,rl_0,4.5932483962367625,6.039448006995486,1,1716.425140297129,-0.47950148582458496,
32,3.2,3,rl_1,6.251370565847639,9.649098730602606,0,1710.683298142739,0.0,4741.734677235449
33,3.3000000000000003,3,flow_10.0,0.26616855851683635,5.136419808075951,2,3.5962259342459983,1.681390362741531,
33,3.3000000000000003,3,rl_0,4.715358965713844,6.510983903566871,1,1716.5596945427037,1.2211056947708165,
33,3.3000000000000003,3,rl_1,6.251370565847639,10.27423578718737,0,1710.664670321574,0.0,9183.385728084879
34,3.4000000000000004,3,flow_10.0,0.0,5.136419808075951,2,4.219729891792351,-2.6616855851683634,
34,3.4000000000000004,3,rl_0,4.803335880358086,6.991317491602679,1,1716.7028857260223,0.8797691464424151,
34,3.4000000000000004,3,rl_1,6.251370565847639,10.899372843772134,0,1710.6634236370458,0.0,137217.02523486677
35,3.5,3,flow_10.0,0.23260744194918104,5.159680552270869,2,4.837268448835939,2.3260744194918104,
35,3.5,3,rl_0,4.961418961603508,7.48745938776303,1,1716.847547890134,1.5808308124542236,
35,3.5,3,rl_1,6.251370565847639,11.524509900356898,0,1710.679228658181,0.0,
36,3.6,3,flow_10.0,0.4813235456100763,5.207812906831877,2,5.446975230675526,2.4871610366089523,
36,3.6,3,rl_0,5.257826970121797,8.013242084775209,1,1716.97985108141,2.9640800851828875,
36,3.6,3,rl_1,6.251370565847639,12.149646956941663,0,1710.7122618518395,0.0,
37,3.7,3,flow_10.0,0.7408777055186202,5.281900677383739,2,6.047716238933699,2.595541599085439,
37,3.7,3,rl_0,5.4535150389885265,8.558593588674063,1,1717.1095109559578,1.9568806886672974,
37,3.7,3,rl_1,6.251370565847639,12.774784013526427,0,1710.7624368265638,0.0,
38,3.8000000000000003,3,flow_10.0,0.44087770551862016,5.3259884479356,2,6.695515718859248,-3.0000000000000004,
38,3.8000000000000003,3,rl_0,5.357701728842195,9.094363761558283,1,1717.2658823425782,-0.9581331014633143,
38,3.8000000000000003,3,rl_1,6.251370565847639,13.39992107011119,0,1710.8296606205467,0.0,
39,3.9000000000000004,3,flow_10.0,0.7141096508509475,5.397399413020695,2,7.333112604146715,2.732319453323273,
39,3.9000000000000004,3,rl_0,5.65281759656581,9.659645521214864,1,1717.4097806094235,2.9511586772361476,
39,3.9000000000000004,3,rl_1,6.251370565847639,14.025058126695955,0,1710.9138334813326,0.0,
40,4.0,3,flow_10.0,0.9917927168761702,5.496578684708312,2,7.959827774853269,2.7768306602522275,
40,4.0,3,rl_0,5.598040403496352,10.219449561564499,1,1717.5759849671788,-0.5477719306945783,
40,4.0,3,rl_1,6.251370565847639,14.650195183280719,0,1711.0148486602588,0.0,
41,4.1000000000000005,3,flow_10.0,1.2728472478637105,5.623863409494683,3,5.49594042091175,2.810545309875403,
41,4.1000000000000005,3,rl_0,5.833645190369216,10.80281408060142,1,1717.735170532984,2.3560478687286412,
41,4.1000000000000005,3,rl_1,6.251370565847639,15.275332239865483,0,1711.1325922236801,0.0,
42,4.2,3,flow_10.0,0.9728472478637105,5.721148134281053,3,6.1571539700491495,-3.0000000000000004,
42,4.2,3,rl_0,6.126780749120115,11.415492155513432,1,1717.8817418508972,2.9313555875089925,
42,4.2,3,rl_1,6.251370565847639,15.900469296450247,0,1711.2669428830072,0.0,
43,4.3,3,flow_10.0,0.6728472478637104,5.7884328590674246,3,6.864721897485686,-3.0000000000000004,
43,4.3,3,rl_0,6.208505023278593,12.036342657841292,1,1718.0366408551474,0.8172427415847761,
43,4.3,3,rl_1,6.251370565847639,16.52560635303501,0,1711.4176472637814,0.0,
44,4.4,3,flow_10.0,0.3728472478637104,5.825717583853796,3,7.618497618149681,-3.0000000000000004,
44,4.4,3,rl_0,6.143928802766203,12.650735538117912,1,1718.2144801847303,-0.6457622051239031,
44,4.4,3,rl_1,6.251370565847639,17.15074340961977,0,1711.5846945893202,0.0,
45,4.5,3,flow_10.0,0.652172273514044,5.8909348112052,3,8.360393906431074,2.793250256503337,
45,4.5,3,rl_0,6.041402638711332,13.254875801989046,1,1718.418921710753,-1.0252616405487025,
45,4.5,3,rl_1,6.251370565847639,17.775880466204534,0,1711.7679407635248,0.0,
46,4.6000000000000005,3,flow_10.0,0.352172273514044,5.926152038556604,3,9.148180351912448,-3.0000000000000004,
46,4.6000000000000005,3,rl_0,6.255262006081938,13.88040200259724,1,1718.6180885028027,2.138593673706053,
46,4.6000000000000005,3,rl_1,6.251370565847639,18.401017522789296,0,1711.9672338835858,0.0,
47,4.7,3,flow_10.0,0.052172273514043965,5.931369265908009,3,9.981685831918268,-3.0000000000000004,
47,4.7,3,rl_0,6.1899997241872535,14.499401975015966,1,1718.839843523348,-0.6526228189468419,
47,4.7,3,rl_1,6.251370565847639,19.026154579374058,0,1712.182414192792,0.0,
48,4.800000000000001,3,flow_10.0,0.0,5.931369265908009,3,10.835948255384126,-0.5217227351404397,
48,4.800000000000001,3,rl_0,6.123113442220091,15.111713319237975,1,1719.0841937234668,-0.6688628196716273,
48,4.800000000000001,3,rl_1,6.251370565847639,19.65129163595882,0,1712.4133140630256,0.0,
49,4.9,3,flow_10.0,0.0,5.931369265908009,3,11.705562929731064,0.0,
49,4.9,3,rl_0,6.079347766198515,15.719648095857826,1,1719.3483061803506,-0.43765676021576105,
49,4.9,3,rl_1,6.251370565847639,20.276428692543583,0,1712.6597580082782,0.0,
50,5.0,3,flow_10.0,0.0,5.931369265908009,3,12.590334327829611,0.0,
50,5.0,3,rl_0,6.132567823686003,16.332904878226426,1,1719.6226707078538,0.5322005748748815,
50,5.0,3,rl_1,6.251370565847639,20.901565749128345,0,1712.921556380567,0.0,
51,5.1000000000000005,3,flow_10.0,0.29242981102879817,5.960612247010888,3,13.460816001153905,2.9242981102879817,
51,5.1000000000000005,3,rl_0,6.146729470052122,16.947577825231637,1,1719.9110183401228,0.14161646366119385,
51,5.1000000000000005,3,rl_1,6.251370565847639,21.526702805713107,0,1713.1985245790129,0.0,
52,5.2,3,flow_10.0,0.0,5.960612247010888,3,14.375282662906038,-2.9242981102879817,
52,5.2,3,rl_0,6.359450746335386,17.583522899865176,1,1720.1932632208868,2.12721276283264,
52,5.2,3,rl_1,6.251370565847639,22.15183986229787,0,1713.4904639540669,0.0,
53,5.300000000000001,3,flow_10.0,0.05831929445266724,5.9664441764561555,3,15.29844056784548,0.5831929445266724,
53,5.300000000000001,3,rl_0,6.23054194525659,18.206577094390834,1,1720.5033254785926,-1.289088010787962,
53,5.300000000000001,3,rl_1,6.251370565847639,22.77697691888263,0,1713.797168381675,0.0,
54,5.4,3,flow_10.0,0.11900063753128051,5.9783442402092835,3,16.229827323528504,0.6068134307861327,
54,5.4,3,rl_0,6.461659432210325,18.852743037611866,1,1720.804871301283,2.3111748695373535,
54,5.4,3,rl_1,6.251370565847639,23.402113975467394,0,1714.1184244440121,0.0,
55,5.5,3,flow_10.0,0.4144449538580275,6.019788735595086,3,17.145733361241444,2.9544431632674693,
55,5.5,3,rl_0,6.751327920385655,19.52787582965043,1,1721.0920704862476,2.896684881753293,
55,5.5,3,rl_1,6.251370565847639,24.027251032052156,0,1714.4540116441888,0.0,
56,5.6000000000000005,3,flow_10.0,0.710362815545321,6.090825017149618,3,18.04587127562676,2.959178616872935,
56,5.6000000000000005,3,rl_0,6.604257524439152,20.188301582094347,1,1721.408095432149,-1.470703959465025,
56,5.6000000000000005,3,rl_1,6.251370565847639,24.65238808863692,0,1714.803702654394,0.0,
57,5.7,3,flow_10.0,0.7954263564808374,6.170367652797702,3,18.95108000682949,0.8506354093551638,
57,5.7,3,rl_0,6.6856200282061655,20.856863584914965,1,1721.7299048473324,0.8136250376701337,
57,5.7,3,rl_1,6.251370565847639,25.27752514522168,0,1715.1672635966333,0.0,
58,5.800000000000001,3,flow_10.0,1.0920827008331007,6.279575922881012,3,19.83994771204619,2.9665634435226327,
58,5.800000000000001,3,rl_0,6.973780145289182,21.554241599443884,1,1722.0365787792825,2.881601170830166,
58,5.800000000000001,3,rl_1,6.251370565847639,25.902662201806443,0,1715.544293594864,0.0,
59,5.9,3,flow_10.0,1.3890256735138737,6.418478490232399,2,4.34225914134278,2.9694297268077308,
59,5.9,3,rl_0,7.259763227810574,22.280217922224942,1,1722.3283963680863,2.8598308252139226,
59,5.9,3,rl_1,6.251370565847639,26.527799258391205,0,1715.9347103580074,0.0,
60,6.0,3,flow_10.0,1.0890256735138737,6.527381057583787,2,4.84631970334817,-3.0000000000000004,
60,6.0,3,rl_0,7.54330176574299,23.03454809879924,1,1722.6050933968752,2.83538537932416,
60,6.0,3,rl_1,6.251370565847639,27.152936314975967,0,1716.3382624120472,0.0,
61,6.1000000000000005,3,flow_10.0,1.3379248417916756,6.661173541762954,2,5.333837966284223,2.488991682778019,
61,6.1000000000000005,3,rl_0,7.503448359790537,23.784892934778295,1,1722.8990413658369,-0.3985340595245379,
61,6.1000000000000005,3,rl_1,6.251370565847639,27.77807337156073,0,1716.7546931489528,0.0,
62,6.2,3,flow_10.0,1.0379248417916755,6.764966025942122,2,5.860329422964214,-3.0000000000000004,
62,6.2,3,rl_0,7.483938758197519,24.533286810598046,1,1723.2078029204552,-0.195096015930174,
62,6.2,3,rl_1,6.251370565847639,28.403210428145492,0,1717.1837412466577,0.0,
63,6.300000000000001,3,flow_10.0,0.7379248417916755,6.8387585101212895,2,6.425992260832176,-3.0000000000000004,
63,6.300000000000001,3,rl_0,7.7653480864951305,25.309821619247558,1,1723.5008170939116,2.8140932829761134,
63,6.300000000000001,3,rl_1,6.251370565847639,29.028347484730254,0,1717.6251411103271,0.0,
64,6.4,3,flow_10.0,0.43792484179167546,6.882550994300457,2,7.0311872574034755,-3.0000000000000004,
64,6.4,3,rl_0,8.043799559558078,26.114201575203367,1,1723.7781872639591,2.784514730629475,
64,6.4,3,rl_1,6.251370565847639,29.653484541315017,0,1718.0786233321635,0.0,
65,6.5,3,flow_10.0,0.1379248417916754,6.896343478479625,2,7.676114897137546,-3.0000000000000004,
65,6.5,3,rl_0,7.94429887958829,26.908631463162195,1,1724.077474199914,-0.9950067996978795,
65,6.5,3,rl_1,6.251370565847639,30.27862159789978,0,1718.5439151668206,0.0,
66,6.6000000000000005,3,flow_10.0,0.0,6.896343478479625,2,8.344904284486525,-1.3792484179167541,
66,6.6000000000000005,3,rl_0,8.18730916210477,27.72736237937267,1,1724.3640223380892,2.430102825164795,
66,6.6000000000000005,3,rl_1,6.251370565847639,30.90375865448454,0,1719.0207410193655,0.0,
67,6.7,3,flow_10.0,0.282767887287294,6.924620267208354,2,8.99564977561683,2.82767887287294,
67,6.7,3,rl_0,8.345312480414554,28.561893627414126,1,1724.6460979284016,1.5800331830978465,
67,6.7,3,rl_1,6.251370565847639,31.528895711069303,0,1719.5088229426312,0.0,
68,6.800000000000001,3,flow_10.0,0.4993045999337784,6.9745507272017315,1,17.408775393371037,2.1653671264648438,
68,6.800000000000001,3,rl_0,8.214324931586429,29.383326120572768,1,1724.9525562702984,-1.3098754882812536,
68,6.800000000000001,3,rl_1,6.251370565847639,32.154032767654066,0,1720.0078811407432,0.0,
69,6.9,3,flow_10.0,0.7008347226907364,7.0446341994708055,1,18.158919872338988,2.01530122756958,
69,6.9,3,rl_0,8.202279512370273,30.203554071809794,1,1725.2711577080743,-0.1204541921615565,
69,6.9,3,rl_1,6.251370565847639,32.77916982423883,0,1720.5176344755923,0.0,
70,7.0,3,flow_10.0,0.4008347226907364,7.084717671739879,1,18.94476174114802,-3.0000000000000004,
70,7.0,3,rl_0,8.25925341078107,31.029479412887902,1,1725.5946565674851,0.5697389841079747,
70,7.0,3,rl_1,6.251370565847639,33.40430688082359,0,1721.0378009730466,0.0,
71,7.1000000000000005,3,flow_10.0,0.10083472269073634,7.094801144008953,1,19.787846013053297,-3.0000000000000004,
71,7.1000000000000005,3,rl_0,8.53167744174348,31.88264715706225,1,1725.9013354490867,2.7242403096240864,
71,7.1000000000000005,3,rl_1,6.251370565847639,34.02944393740835,0,1721.5680983257623,0.0,
72,7.2,3,flow_10.0,0.0,7.094801144008953,1,20.62835612678407,-1.0083472269073634,
72,7.2,3,rl_0,8.40510113730775,32.723157270793024,1,1726.2308344097669,-1.2657630443572998,
72,7.2,3,rl_1,6.251370565847639,34.654580993993115,0,1722.1082443895496,0.0,
73,7.300000000000001,3,flow_10.0,0.0,7.094801144008953,1,21.489334463609786,0.0,
73,7.300000000000001,3,rl_0,8.609783368257151,33.58413560761874,1,1726.5499202591539,2.0468223094940186,
73,7.300000000000001,3,rl_1,6.251370565847639,35.27971805057788,0,1722.6579576703896,0.0,
74,7.4,3,flow_10.0,0.2644360542297363,7.121244749431926,1,22.337181143788772,2.644360542297363,
74,7.4,3,rl_0,8.742902856019603,34.4584258932207,1,1726.865026012122,1.3311948776245153,
74,7.4,3,rl_1,6.251370565847639,35.90485510716264,0,1723.2169577993632,0.0,
75,7.5,3,flow_10.0,0.5620309730155468,7.177447846733481,1,23.136195060337776,2.975949187858105,
75,7.5,3,rl_0,8.552170138505565,35.313642907071255,1,1727.2083704369877,-1.9073271751403809,
75,7.5,3,rl_1,6.251370565847639,36.5299921637474,0,1723.7849659929418,0.0,
76,7.6000000000000005,3,flow_10.0,0.36560296016764643,7.214008142750245,1,23.98168169937827,-1.964280128479004,
76,7.6000000000000005,3,rl_0,8.820469350572582,36.195689842128516,1,1727.533921355294,2.6829921206701712,
76,7.6000000000000005,3,rl_1,6.251370565847639,37.155129220332164,0,1724.3617054963163,0.0,
77,7.7,3,flow_10.0,0.06560296016764638,7.2205684387670095,0,7.540488755421088,-3.0000000000000004,
77,7.7,3,rl_0,8.896855396982188,37.085375381826736,1,1727.860224464405,0.7638604640960622,
77,7.7,3,rl_1,6.251370565847639,37.780266276916926,0,1724.9469020076644,0.0,
78,7.800000000000001,3,flow_10.0,0.34449811088727184,7.255018249855737,0,8.003588192913377,2.7889515071962543,
78,7.800000000000001,3,rl_0,9.159726596525338,38.00134804147927,1,1728.1686027189505,2.6287119954315052,
78,7.800000000000001,3,rl_1,6.251370565847639,38.40540333350169,0,1725.5402840815204,0.0,
79,7.9,3,flow_10.0,0.04449811088727179,7.259468060944464,0,8.499790198136079,-3.0000000000000004,
79,7.9,3,rl_0,9.418011307231088,38.943149172202375,1,1728.4593686972332,2.5828471070575,
79,7.9,3,rl_1,6.251370565847639,39.03054039008645,0,1726.141583509656,0.0,
80,8.0,3,flow_10.0,0.0,7.259468060944464,0,9.003828420481714,-0.4449811088727179,
80,8.0,3,rl_0,9.671388065156382,39.91028797871801,1,1728.7328331163387,2.5337675792529346,
80,8.0,3,rl_1,6.251370565847639,39.65567744667121,0,1726.7505356781571,0.0,
81,8.1,3,flow_10.0,0.14421744346618653,7.273889805291082,0,9.49666732593098,1.4421744346618652,
81,8.1,3,rl_0,9.608139073190134,40.871101886037025,1,1729.0205626533686,-0.6324899196624756,
81,8.1,3,rl_1,6.251370565847639,40.280814503255975,0,1727.366879899645,0.0,
82,8.200000000000001,3,flow_10.0,0.3994961738586426,7.3138394226769465,0,9.967386448905213,2.5527873039245605,
82,8.200000000000001,3,rl_0,9.717653929528636,41.842867278989885,1,1729.3048482119268,1.0951485633850133,
82,8.200000000000001,3,rl_1,6.251370565847639,40.90595155984074,0,1727.9903597198424,0.0,
83,8.3,3,flow_10.0,0.45115466117858893,7.3589548887948055,0,10.436368595660664,0.5165848731994632,
83,8.3,3,rl_0,9.964808081729435,42.839348087162826,1,1729.5717205354078,2.471541522007996,
83,8.3,3,rl_1,6.251370565847639,41.5310886164255,0,1728.620723197959,0.0,
84,8.4,3,flow_10.0,0.7401369317000654,7.432968581964812,0,10.879762119799967,2.889822705214765,
84,8.4,3,rl_0,10.206377344831411,43.859985821645964,1,1729.8212166105677,2.415692631019759,
