step,time,num_rl_vehicles,veh_id,speed,position,lane,headway,acceleration,ttc
0,0.0,2,rl_0,0.0,0.5792319162179032,2,1709.2485362920252,0.0,
0,0.0,2,rl_1,0.029109084606170656,1713.3977471892347,0,,0.0,
1,0.1,2,rl_0,0.2999995892563929,0.6092318751435425,2,1709.2544434823947,2.999995892563929,
1,0.1,2,rl_1,0.32910908460191596,1713.430658097695,0,,2.9999999999574527,
2,0.2,2,rl_0,0.5999990487763707,0.6692317800211796,2,1709.2483158421667,2.9999945951997775,27894.07100114135
2,0.2,2,rl_1,0.6291090150809655,1713.493568999203,0,,2.9999993047904954,
3,0.30000000000000004,2,rl_0,0.6793549144933049,0.7371672714705101,2,1709.2522525505067,0.793558657169342,
3,0.30000000000000004,2,rl_1,0.9291080868418764,1713.5864798078871,0,,2.999990717609109,
4,0.4,2,rl_0,0.979352596687736,0.8351025311392837,2,1709.2441893777054,2.999976821944311,21198.15898176753
4,0.4,2,rl_1,1.2291036709220589,1713.7093901749793,0,,2.9999558408018245,
5,0.5,2,rl_0,1.2793443651932197,0.9630369676586057,2,1709.2241267519748,2.999917685054837,8519.44381410802
5,0.5,2,rl_1,1.3015405519874275,1713.839544230178,0,,0.7243688106536861,
6,0.6000000000000001,2,rl_0,1.0840166779297309,1.0714386354515788,2,1709.241596321956,-1.9532768726348881,
6,0.6000000000000001,2,rl_1,1.427531061974305,1713.9822973363755,0,,1.2599050998687744,
7,0.7000000000000001,2,rl_0,0.916360780789228,1.1630747135305015,2,1709.2934677502546,-1.6765589714050289,
7,0.7000000000000001,2,rl_1,1.7070106132896126,1714.1529983977046,0,,2.7947955131530766,
8,0.8,2,rl_0,1.1937099667328315,1.2824457102037847,2,1709.3354211804026,2.7734918594360347,
8,0.8,2,rl_1,2.006960297869427,1714.3536944274915,0,,2.9994968457981463,
9,0.9,2,rl_0,1.110812911583753,1.3935270013621601,2,1709.403661449682,-0.8289705514907841,
9,0.9,2,rl_1,1.8335968506800961,1714.5370541125594,0,,-1.7336344718933105,
10,1.0,2,rl_0,1.4107997301801314,1.5346069743801733,2,1709.4597921696761,2.9998681859637832,
10,1.0,2,rl_1,2.09226493959306,1714.7462806065187,0,,2.586680889129638,
11,1.1,2,rl_0,1.5084568682893384,1.6854526612091072,2,1709.5241507747446,0.9765713810920706,
11,1.1,2,rl_1,2.0612764370906187,1714.9524082502278,0,,-0.3098850250244123,
12,1.2000000000000002,2,rl_0,1.5559514466508497,1.8410478058741921,2,1709.6017096258981,0.47494578361511275,
12,1.2000000000000002,2,rl_1,2.1866706741320923,1715.171075317641,0,,1.2539423704147357,
13,1.3,2,rl_0,1.8559023842086404,2.0266380442950562,2,1709.6672608776757,2.9995093755779068,
13,1.3,2,rl_1,2.251293433951123,1715.396204661036,0,,0.6462275981903076,
14,1.4000000000000001,2,rl_0,1.9299130901565165,2.219629353310708,2,1709.7433942240712,0.7401070594787607,
14,1.4000000000000001,2,rl_1,2.39291784887193,1715.6354964459233,0,,1.416244149208068,
15,1.5,2,rl_0,1.9922490343322368,2.418854256743932,2,1709.831271776317,0.623359441757203,
15,1.5,2,rl_1,2.6927235512992787,1715.9047688010533,0,,2.9980570242734883,
16,1.6,2,rl_0,2.2921182757983884,2.6480660843237707,2,1709.9071336515328,2.998692414661517,
16,1.6,2,rl_1,2.9924120045000384,1716.2040100015033,0,,2.9968845320075976,
17,1.7000000000000002,2,rl_0,1.9921182757983884,2.8472779119036096,2,1710.030921981571,-3.0000000000000004,
17,1.7000000000000002,2,rl_1,2.9904625630670854,1716.50305625781,0,,-0.019494414329530585,
18,1.8,2,rl_0,2.2919876032129403,3.0764766722249037,2,1710.1425603026644,2.9986932741455186,
18,1.8,2,rl_1,2.9832752442652053,1716.8013837822364,0,,-0.0718731880188006,
19,1.9000000000000001,2,rl_0,2.591759111803973,3.335652583405301,2,1710.2420920927348,2.9977150859103263,
19,1.9000000000000001,2,rl_1,3.282805858931499,1717.1296643681296,0,,2.995306146662937,
20,2.0,2,rl_0,2.891385947567186,3.6247911781620195,2,1710.3295911349624,2.9962683576321325,
20,2.0,2,rl_1,3.5821176235145096,1717.487876130481,0,,2.9931176458301056,
21,2.1,2,rl_0,3.1908083206744005,3.9438720102294598,2,1710.405062781254,2.994223731072143,
21,2.1,2,rl_1,3.517938274568892,1717.839669957938,0,,-0.641793489456175,
22,2.2,2,rl_0,2.9130112892718127,4.235173139156641,2,1710.5262115766209,-2.777970314025877,
22,2.2,2,rl_1,3.817030644074329,1718.2213730223455,0,,2.9909236950543683,
23,2.3000000000000003,2,rl_0,3.212416291291493,4.556414768285791,2,1710.6352974048957,2.994050020196801,
23,2.3000000000000003,2,rl_1,3.606339883461841,1718.5820070106915,0,,-2.106907606124877,
24,2.4000000000000004,2,rl_0,3.511536654555746,4.907568433741365,2,1710.73232607593,2.9912036326425318,
24,2.4000000000000004,2,rl_1,3.5238951918038213,1718.934396529872,0,,-0.8244469165801993,
25,2.5,2,rl_0,3.2935643044352014,5.236924864184886,2,1710.8688912918474,-2.179723501205446,
25,2.5,2,rl_1,3.602711707011112,1719.294667700573,0,,0.7881651520729083,
26,2.6,2,rl_0,3.397237929427572,5.576648657127643,2,1711.0128897176357,1.0367362499237043,
26,2.6,2,rl_1,3.9017133766899663,1719.684839038242,0,,2.990016696788542,
27,2.7,2,rl_0,3.3661366787790734,5.91326232500555,2,1711.1777665728173,-0.31101250648498446,
27,2.7,2,rl_1,4.018163901020105,1720.086655428344,0,,1.164505243301388,
28,2.8000000000000003,2,rl_0,3.6650765250567265,6.279769977511223,2,1711.3304817826165,2.9893984627765313,
28,2.8000000000000003,2,rl_1,4.027763622451837,1720.4894317905894,0,,0.09599721431731822,
29,2.9000000000000004,2,rl_0,3.6082216690424747,6.6405921444154705,2,1711.5063266974867,-0.5685485601425189,
29,2.9000000000000004,2,rl_1,4.32620402642842,1720.9220521932323,0,,2.984404039765831,
30,3.0,2,rl_0,3.3082216690424744,6.971414311319718,2,1711.7298205747823,-3.0000000000000027,
30,3.0,2,rl_1,4.485055161205489,1721.3705577093529,0,,1.5885113477706891,
31,3.1,2,rl_0,3.304939753854639,7.301908286705181,2,1711.9712265613787,-0.032819151878356045,
31,3.1,2,rl_1,4.658783984867293,1721.8364361078395,0,,1.737288236618042,
32,3.2,2,rl_0,3.433438069665796,7.645252093671761,2,1712.2173300126908,1.2849831581115723,
32,3.2,2,rl_1,4.358783984867293,1722.2723145063262,0,,-2.9999999999999982,
33,3.3000000000000003,2,rl_0,3.4978897999171084,7.995041073663472,2,1712.4744774172325,0.6445173025131234,
33,3.3000000000000003,2,rl_1,4.1438138730203695,1722.6866958936282,0,,-2.1497011184692383,
34,3.4000000000000004,2,rl_0,3.7854585598353214,8.373586929647004,2,1712.7202936885553,2.8756875991821307,
34,3.4000000000000004,2,rl_1,4.002345491138656,1723.0869304427422,0,,-1.4146838188171351,
35,3.5,2,rl_0,3.7415622900370424,8.747743158650708,2,1712.9878392182209,-0.43896269798278986,
35,3.5,2,rl_1,3.823152662006576,1723.469245708943,0,,-1.791928291320799,
36,3.6,2,rl_0,3.4415622900370426,9.091899387654413,2,1713.3026671738867,-2.9999999999999982,
36,3.6,2,rl_1,4.021325064388473,1723.8713782153818,0,,1.9817240238189715,
37,3.7,3,flow_10.0,0.5393062483474775,5.1,3,3.218509320243669,0.0,
37,3.7,3,rl_0,3.3516132424715823,9.427060711901571,2,1713.6436048820397,-0.8994904756546029,
37,3.7,3,rl_1,4.059003902164657,1724.2772786055982,0,,0.3767883777618408,
38,3.8000000000000003,3,flow_10.0,0.7234620354160415,5.172346203541604,3,3.8389908497828795,1.8415578706856395,
38,3.8000000000000003,3,rl_0,3.505887276971704,9.777649439598742,2,1713.9859349015558,1.542740345001219,
38,3.8000000000000003,3,rl_1,4.059003902164657,1724.6831789958146,0,,0.0,
39,3.9000000000000004,3,flow_10.0,0.9420367569660302,5.266549879238207,3,4.454248164107485,2.185747215499887,
39,3.9000000000000004,3,rl_0,3.3594537566546268,10.113594815264204,2,1714.3599326928029,-1.4643352031707746,
39,3.9000000000000004,3,rl_1,4.059003902164657,1725.089079386031,0,,0.0,
