episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-454.1995978012293,-568.2039477511302,-511.2017727761797,1500.0,2,0,4000,0,4000,False,2,1,8784b_00000,278cf4b1aff64c8ba0c1c21ced22287c,2025-12-02_17-37-05,1764725825,12.842386960983276,12.842386960983276,79896,Leons-MacBook-Pro.local,127.0.0.1,12.842386960983276,0,1,"[-454.1995978012293, -568.2039477511302]","[1500, 1500]",0.7279426328720554,0.3060401305351458,0.028318895217449302,2.0101012601997814,0.0,12306.257,325.038,0.156,25614070.229,538.69,7425.423,4000,4000,4000,4000,43.32631578947368,84.9842105263158,0.0,0.19999999999999998,5.000000000000001e-05,518.525334910808,0.007082284052645968,518.5177870968413,-0.026391726305053504,0.0023296910248885396,2.8307972454255625,0.0
-454.1995978012293,-662.1070978168692,-599.8151638843976,1500.0,3,0,8000,0,8000,False,5,2,8784b_00000,278cf4b1aff64c8ba0c1c21ced22287c,2025-12-02_17-37-17,1764725837,12.401192903518677,25.243579864501953,79896,Leons-MacBook-Pro.local,127.0.0.1,25.243579864501953,0,2,"[-454.1995978012293, -568.2039477511302, -654.4599316375388, -662.1070978168692, -660.1052444152203]","[1500, 1500, 1500, 1500, 1500]",0.7989606568527934,0.2916618654529339,0.02719804680053347,1.9242579307246719,0.0,12377.791,323.159,0.139,28752726.65,523.48,7641.165,8000,8000,8000,8000,44.817647058823525,84.72352941176472,0.0,0.09999999999999999,5.000000000000001e-05,498.2035861107611,0.011360637813566192,498.1918406332693,0.00038973804443113264,0.003877662128500183,2.8125172353559926,0.0
-340.2548057070133,-662.1070978168692,-547.3634971184332,1500.0,3,0,12000,0,12000,False,8,3,8784b_00000,278cf4b1aff64c8ba0c1c21ced22287c,2025-12-02_17-37-28,1764725848,10.747651100158691,35.991230964660645,79896,Leons-MacBook-Pro.local,127.0.0.1,35.991230964660645,0,3,"[-454.1995978012293, -568.2039477511302, -654.4599316375388, -662.1070978168692, -660.1052444152203, -340.2548057070133, -381.42989696742336, -658.1474548510415]","[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]",0.8325642097320438,0.28376896336988017,0.02663048953486507,1.8342766554519225,0.0,11848.889,337.584,0.157,25471481.781,510.557,7834.587,12000,12000,12000,12000,32.575,85.25,0.0,0.049999999999999996,5.000000000000001e-05,263.9141901619973,0.008723698508354926,263.90534350228796,0.06288385295098828,0.0025090529332502474,2.8321324663777507,0.0
-340.2548057070133,-662.1070978168692,-568.5897403354002,1500.0,2,0,16000,0,16000,False,10,4,8784b_00000,278cf4b1aff64c8ba0c1c21ced22287c,2025-12-02_17-37-39,1764725859,10.657894849777222,46.649125814437866,79896,Leons-MacBook-Pro.local,127.0.0.1,46.649125814437866,0,4,"[-454.1995978012293, -568.2039477511302, -654.4599316375388, -662.1070978168692, -660.1052444152203, -340.2548057070133, -381.42989696742336, -658.1474548510415, -648.858456163645, -658.1309702428906]","[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]",0.832150119380384,0.2810470519964747,0.026429954501838715,1.7991222386480383,0.0,11545.371,346.459,0.149,26843545.6,513.743,7785.995,16000,16000,16000,16000,36.486666666666665,85.12666666666668,0.0,0.024999999999999998,5.000000000000001e-05,344.74051944363504,0.011066858326235125,344.7293709047379,9.682255406533519e-05,0.0032931114739400864,2.8271054490920036,0.0
-340.2548057070133,-663.7646835518876,-590.1197480576369,1500.0,3,0,20000,0,20000,False,13,5,8784b_00000,278cf4b1aff64c8ba0c1c21ced22287c,2025-12-02_17-37-52,1764725872,13.14486312866211,59.793988943099976,79896,Leons-MacBook-Pro.local,127.0.0.1,59.793988943099976,0,5,"[-454.1995978012293, -568.2039477511302, -654.4599316375388, -662.1070978168692, -660.1052444152203, -340.2548057070133, -381.42989696742336, -658.1474548510415, -648.858456163645, -658.1309702428906, -661.7458068966735, -660.1488309467165, -663.7646835518876]","[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]",0.838534333051602,0.2785717876610624,0.026255091104303498,1.7772185605600965,0.0,11874.403,336.859,0.148,27060025.806,509.498,7850.866,20000,20000,20000,20000,36.98947368421053,84.03684210526316,0.0,0.012499999999999999,5.000000000000001e-05,268.0453120570029,0.009611938298950273,268.03566526597547,4.269211522994503e-05,0.002839055334992179,2.8670928332113452,0.0
-340.2548057070133,-666.3433180695363,-604.2111273697727,1500.0,3,0,24000,0,24000,False,16,6,8784b_00000,278cf4b1aff64c8ba0c1c21ced22287c,2025-12-02_17-38-04,1764725884,12.412802696228027,72.206791639328,79896,Leons-MacBook-Pro.local,127.0.0.1,72.206791639328,0,6,"[-454.1995978012293, -568.2039477511302, -654.4599316375388, -662.1070978168692, -660.1052444152203, -340.2548057070133, -381.42989696742336, -658.1474548510415, -648.858456163645, -658.1309702428906, -661.7458068966735, -660.1488309467165, -663.7646835518876, -663.300339373885, -666.3433180695363, -666.1776557236632]","[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]",0.8458599157932588,0.2765203488164341,0.026106634917754813,1.7641917758103385,0.0,11961.186,334.415,0.149,26900934.26,511.666,7817.596,24000,24000,24000,24000,29.176470588235293,78.59411764705882,0.0,0.0062499999999999995,5.000000000000001e-05,217.12586594858476,0.023656379644789043,217.10218285591372,-2.4995496196131554e-09,0.004475672160226405,2.841017788456332,0.0
-340.2548057070133,-666.3433180695363,-610.2469179305172,1500.0,2,0,28000,0,28000,False,18,7,8784b_00000,278cf4b1aff64c8ba0c1c21ced22287c,2025-12-02_17-38-15,1764725895,11.029706001281738,83.23649764060974,79896,Leons-MacBook-Pro.local,127.0.0.1,83.23649764060974,0,7,"[-454.1995978012293, -568.2039477511302, -654.4599316375388, -662.1070978168692, -660.1052444152203, -340.2548057070133, -381.42989696742336, -658.1474548510415, -648.858456163645, -658.1309702428906, -661.7458068966735, -660.1488309467165, -663.7646835518876, -663.300339373885, -666.3433180695363, -666.1776557236632, -657.4011188104507, -659.6653660224948]","[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]",0.8457753356746851,0.2756082967782507,0.026055698351569925,1.7573809849657391,0.0,11828.828,338.157,0.146,27311746.977,514.148,7779.857,28000,28000,28000,28000,34.95,79.25625,0.0,0.0031249999999999997,5.000000000000001e-05,168.16245862899288,0.009511283570299706,168.15294022098664,4.6144762346821444e-05,0.002205865225367589,2.8393654023447343,0.0
-340.2548057070133,-666.3433180695363,-617.7675844037318,1500.0,3,0,32000,0,32000,False,21,8,8784b_00000,278cf4b1aff64c8ba0c1c21ced22287c,2025-12-02_17-38-29,1764725909,13.315734148025513,96.55223178863525,79896,Leons-MacBook-Pro.local,127.0.0.1,96.55223178863525,0,8,"[-454.1995978012293, -568.2039477511302, -654.4599316375388, -662.1070978168692, -660.1052444152203, -340.2548057070133, -381.42989696742336, -658.1474548510415, -648.858456163645, -658.1309702428906, -661.7458068966735, -660.1488309467165, -663.7646835518876, -663.300339373885, -666.3433180695363, -666.1776557236632, -657.4011188104507, -659.6653660224948, -664.6864843217998, -659.5972856526903, -664.3909797545715]","[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]",0.8477272603858035,0.27443298590125287,0.025981411019363708,1.7538867558708582,0.0,12013.694,332.953,0.141,28286138.672,519.043,7706.484,32000,32000,32000,32000,34.17368421052632,80.1421052631579,0.0,0.0015624999999999999,5.000000000000001e-05,128.02362670283165,0.005581358946379154,128.01803696540094,-1.7304574289629537e-09,0.005003819732156279,2.8361049475208406,0.0
-340.2548057070133,-667.5768555136665,-616.5436608960845,1500.0,3,0,36000,0,36000,False,24,9,8784b_00000,278cf4b1aff64c8ba0c1c21ced22287c,2025-12-02_17-38-40,1764725920,11.781227111816406,108.33345890045166,79896,Leons-MacBook-Pro.local,127.0.0.1,108.33345890045166,0,9,"[-454.1995978012293, -568.2039477511302, -654.4599316375388, -662.1070978168692, -660.1052444152203, -340.2548057070133, -381.42989696742336, -658.1474548510415, -648.858456163645, -658.1309702428906, -661.7458068966735, -660.1488309467165, -663.7646835518876, -663.300339373885, -666.3433180695363, -666.1776557236632, -657.4011188104507, -659.6653660224948, -664.6864843217998, -659.5972856526903, -664.3909797545715, -491.66389006265763, -664.6878434513318, -667.5768555136665]","[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]",0.8505838678834451,0.2732985320819503,0.02590695722044128,1.7492162128112525,0.0,11995.63,333.455,0.144,27858845.756,516.918,7738.167,36000,36000,36000,36000,31.252941176470586,80.03529411764708,0.0,0.0015624999999999999,5.000000000000001e-05,95.14014873197002,0.02789590813429846,95.11224675532337,-0.0039006112083312004,0.0035761260741080155,2.8595703194218296,0.0
-340.2548057070133,-668.5538345075277,-620.4160275257653,1500.0,2,0,40000,0,40000,False,26,10,8784b_00000,278cf4b1aff64c8ba0c1c21ced22287c,2025-12-02_17-38-53,1764725933,12.164711952209473,120.49817085266113,79896,Leons-MacBook-Pro.local,127.0.0.1,120.49817085266113,0,10,"[-454.1995978012293, -568.2039477511302, -654.4599316375388, -662.1070978168692, -660.1052444152203, -340.2548057070133, -381.42989696742336, -658.1474548510415, -648.858456163645, -658.1309702428906, -661.7458068966735, -660.1488309467165, -663.7646835518876, -663.300339373885, -666.3433180695363, -666.1776557236632, -657.4011188104507, -659.6653660224948, -664.6864843217998, -659.5972856526903, -664.3909797545715, -491.66389006265763, -664.6878434513318, -667.5768555136665, -665.2150196563458, -668.5538345075277]","[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]",0.850479359536272,0.27254325129064,0.02585399576743369,1.748660629306171,0.0,12007.391,333.128,0.138,28891365.593,521.468,7670.65,40000,40000,40000,40000,32.788235294117655,80.78823529411765,0.0,0.0007812499999999999,5.000000000000001e-05,83.95627021789551,0.007173146293949216,83.94909576908235,9.22910628780242e-09,0.0026275213937633356,2.848465682614234,0.0
